sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
T49H400,Impresión,"Suministros de impresión",EPSON,"Botella EPSON T49H amarillo 140ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T49H400-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T49H400-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T49H400-4.jpg,1
T55K200,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON CIAN 700ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K200-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K200-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K200-4.jpg,1
T55K300,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON magenta vivido 700ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K300-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K300-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K300-4.jpg,1
T55K400,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON amarillo 700ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K400-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K400-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K400-4.jpg,1
T55K500,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON CIAN claro 700ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K500-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K500-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K500-4.jpg,1
T55K600,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON Magenta claro 700ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K600-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K600-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K600-4.jpg,1
T55K700,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON negro claro 700ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K700-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K700-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T55K700-4.jpg,1
UN50DU7000KXZL,"Televisores y Monitores",Televisores,SAMSUNG,"Tv Samsung 50' DU7000 Crystal Ultra HD 4K Smart Tv",https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN50DU7000KXZL-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN50DU7000KXZL-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN50DU7000KXZL-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN50DU7000KXZL-4.jpg,0
UN55DU7000KXZL,"Televisores y Monitores",Televisores,SAMSUNG,"Tv Samsung 55' DU7000 Crystal Ultra HD 4K Smart Tv",https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN55DU7000KXZL-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN55DU7000KXZL-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN55DU7000KXZL-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN55DU7000KXZL-4.jpg,0
UN60DU7000KXZL,"Televisores y Monitores",Televisores,SAMSUNG,"Tv Samsung 60' DU7000 Crystal Ultra HD 4K Smart Tv",https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN60DU7000KXZL-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN60DU7000KXZL-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN60DU7000KXZL-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/SAMSUNG-UN60DU7000KXZL-4.jpg,0
